# ICRA 2026 Track 2, optimal raceline, from the team's own optimiser.
# Copied from racelines-20260830T165029Z-1-001.zip:
#   ICRA_T2_SECOND_MAP_GOOD_01062026_0928_gimped_ev12/car_21/
#   v26_2026-06-02_13_21_10/v26_optimal_raceline.csv
# the newest of 41 T2 runs in that archive. Vendored rather than referenced:
# this repo must not depend on another, so the data is copied in.
# lap 73.79 m, 2717 points, half-width 0.66 m median
#   (0.59-3.76 m full width), peak 8.80 m/s,
#   |kappa| up to 0.95 1/m.
# Columns are the optimiser's own, semicolon separated:
# x;y;vx_mps;vy_mps;dpsi_rad;psi_rad;kappa_radpm;ax_mps2;s_m;w_left_m;w_right_m
x;y;vx_mps;vy_mps;dpsi_rad;psi_rad;kappa_radpm;ax_mps2;s_m;w_left_m;w_right_m
9.24363238728259;9.01052323881814;5.56224421589974;-0.25578432605593;1.76207050926403;4.64614469667413;0.332848519418444;4.3765341249679;0;0.332258056684107;1.13759844282225
9.21835629274341;9.01328920659912;5.58015049748429;-0.25803482882348;1.75776558222239;4.65417487547243;0.328604758525495;4.46847659619898;0.0254269843457513;0.339336034304193;1.13202095590011
9.19305128366713;9.01589485118125;5.59844009039184;-0.260340965675615;1.75329856579574;4.6621749391418;0.324381977907129;4.55895186574722;0.0508657906864372;0.346251803305181;1.12660567759707
9.16765869809315;9.01830020948788;5.61710280953149;-0.262700513384619;1.7486741427077;4.67014321678767;0.320180242989773;4.64797382100487;0.0763720477759235;0.353475361869598;1.12149924175941
9.14209800146501;9.02045170592977;5.63612924645707;-0.265111308516421;1.74389731217939;4.67807840985597;0.31599962021871;4.73554471889798;0.102023132529894;0.361772793543816;1.11692238623253
9.1165407034903;9.02248995546052;5.65550850048651;-0.267571230505352;1.73897122192511;4.68597865300899;0.311840175744119;4.8213648963096;0.127661579068595;0.36996229445356;1.11245346147012
9.09092020048327;9.02428042687009;5.67522113992439;-0.270083381082286;1.7338347958082;4.69383914622225;0.307701976779706;4.90543533662825;0.153344568812815;0.378776481124665;1.10879877588393
9.06526068522758;9.02586419395131;5.69524384217035;-0.272648300938191;1.72843513934479;4.70165353355255;0.303585090697693;4.98775837859371;0.179052914565205;0.388085540560182;1.10580071380884
9.0396225824053;9.02736253200457;5.71555951391471;-0.275265545053479;1.72272447160746;4.70941790293409;0.299489585699087;5.06833714137456;0.204734762887472;0.397317822446389;1.10287942928306
9.01392573591279;9.02851347008877;5.73615027729536;-0.277933049294882;1.71666154697026;4.71712796747146;0.29541553048425;5.14717558639815;0.230457371194818;0.407148299077451;1.10205906977127
8.98824269544339;9.02953973488594;5.75699822488156;-0.28064747036575;1.71021093498828;4.72477938394995;0.291362992072957;5.22427851398045;0.256160907667193;0.417051371242807;1.10170591238968
8.96258592780715;9.03046053086313;5.77809113697419;-0.283405136104471;1.70334083552128;4.7323698245013;0.287332038005786;5.29965109183616;0.28183419321407;0.426982144962369;1.10051061495791
8.93691260093505;9.03101534741288;5.79941596869538;-0.286201383969061;1.69602457319398;4.73989653538231;0.28332273607658;5.37329893744035;0.307513514351625;0.437540369434982;1.09218324340954
8.91126847328557;9.03149793235433;5.82096113578567;-0.289031024686459;1.68823938026173;4.74735717448407;0.279335151875891;5.44522801346213;0.333162182370232;0.448034929423829;1.08391953634495
8.88563876942825;9.03179841170267;5.84271857903514;-0.291888744219833;1.67996521536483;4.75475049330435;0.275369350897965;5.51544436574888;0.358793647557622;0.458494551421726;1.07489984710876
8.86001103338643;9.03185039466676;5.86468153747335;-0.294768920013626;1.67118511146753;4.76207552414664;0.271425398860167;5.5839540472239;0.384421436320175;0.468930863358343;1.06466189945054
8.83440839215377;9.03182266320445;5.88684260600622;-0.297665467639629;1.66188552823294;4.76933093554107;0.267503360806273;5.65076319392138;0.410024092571472;0.479294381370851;1.05449674571644
8.80879967348166;9.03154188394954;5.9091944515074;-0.300572024722447;1.65205573802272;4.77651530056648;0.263603301594931;5.71587804218183;0.435634350458057;0.48925839596881;1.04365780688878
8.78320074828809;9.03109519823869;5.93172984017484;-0.303482028187464;1.64168751922622;4.78362712322705;0.259725285130293;5.77930494220027;0.46123717255231;0.498986513221038;1.03251889340841
8.75762855691777;9.03057072442946;5.95444031825313;-0.30638861299942;1.63077548696766;4.79066444616077;0.25586937501981;5.84105046789071;0.486814741714708;0.508643299920496;1.02145131048081
8.73203924378908;9.02972674145298;5.97731699495194;-0.309284778097069;1.61931652296854;4.79762513377554;0.25203563441204;5.90112146369588;0.512417969121864;0.517437022866541;1.01044696802315
8.70647878130619;9.02879850786579;6.00035043948964;-0.312163427068616;1.60730963571437;4.80450686587666;0.248224124573428;5.9595250960348;0.537995280550778;0.526121091413313;0.999505595182005
8.68094121820777;9.02774091080708;6.02353101660246;-0.315017456773393;1.59475562423724;4.81130726087568;0.244434906304097;6.01626887778922;0.563554733607222;0.534436432441077;0.988855437992621
8.65540633096604;9.02640418471259;6.04684833878222;-0.317839732137116;1.58165721540983;4.81802373445057;0.240668039869263;6.07136072976112;0.589124585055739;0.541621139685196;0.979065391549182
8.62991276515126;9.02501508109773;6.07029229962201;-0.32062324773346;1.56801837136712;4.82465381806794;0.236923583949385;6.12480896630129;0.614655967838604;0.548760680741693;0.969320511293364
8.60443945125851;9.02341839300492;6.09385397186209;-0.323361248195016;1.55384365449364;4.83119540971166;0.233201596493371;6.17662221849589;0.640179273532512;0.555123362052538;0.961013837617333
8.57898986309462;9.02161970731407;6.11752522839692;-0.326047185491409;1.53913832437411;4.83764665264171;0.229502134178992;6.22680938572299;0.665692344847546;0.56071624140745;0.95413672041587
8.55358804006;9.01978181169008;6.14129844263675;-0.32867468973522;1.52390840745686;4.84400584587195;0.225825252451671;6.27537960869862;0.69116056963466;0.566276864227469;0.947291859749299
8.52819617839389;9.01766024425016;6.1651669671083;-0.331237623524336;1.50816029937194;4.85027156595954;0.222171005886616;6.32234221059518;0.716640908864594;0.571029481954567;0.943072097283484
8.50284167058454;9.01543239352345;6.18912499290471;-0.333730059463706;1.49190076238939;4.85644261673451;0.218539447235579;6.36770664908181;0.742093106905532;0.575531007390408;0.939620460762422
8.47753359145512;9.01315305432186;6.21316613498491;-0.336146138602529;1.47513777511195;4.86251766253772;0.214930628486937;6.41148256284869;0.767503621587786;0.579939221106953;0.936247428581814
8.45223310546298;9.01055085068508;6.23728371189943;-0.338480122611607;1.45788026941219;4.86849531692499;0.211344600782021;6.45367979722994;0.79293757635706;0.583229817847133;0.933745746435605
8.42698212107007;9.00791827187305;6.26147110718889;-0.34072644298163;1.44013781406642;4.87437424272189;0.207781413052106;6.49430840465125;0.818325421559293;0.586495356206924;0.931269122669784
8.40176862124738;9.00515418749903;6.28572200098236;-0.342879726662224;1.42192039231917;4.88015321103794;0.204241113271789;6.5333786294338;0.8436899782425;0.589437154439029;0.92864818182939
8.37658060014114;9.00215828068102;6.31003020457364;-0.344934781917838;1.40323847178066;4.88583106156264;0.200723748477051;6.57090090296031;0.86905554279192;0.591758925748416;0.47571493211468
8.35144380502471;8.99913947044306;6.33438967299812;-0.346886602005078;1.38410294786935;4.8914067073917;0.197229364095399;6.60688583751572;0.894372961380277;0.5940621714;0.472800208057775
8.32633562770586;8.99591142975747;6.35879448113445;-0.348730365082281;1.36452511933483;4.89687913104111;0.193758004504337;6.64134422116131;0.919687795271546;0.596000407546326;0.467752722590081
8.30126448125398;8.99254523208247;6.38323878643546;-0.350461433440772;1.34451667816326;4.902247377843;0.190309712564831;6.67428701444125;0.944983914958151;0.597702908393157;0.461358213106984
8.27624531084214;8.98916271445969;6.40771688241214;-0.352075358879167;1.32408963094175;4.90751056936081;0.186884530009643;6.70572534328053;0.970230703141296;0.599392454876125;0.45497665798775
