# x_m, y_m, w_tr_right_m, w_tr_left_m
# ICRA 2026 Track 1, outer loop. Centreline extracted from the ROS occupancy
# grid beside this file by tools/centerline_from_map.py (centerline_around,
# hole_rank=0). The corridor BRANCHES -- an outer ring plus an inner section --
# so it has no unique centreline; it has one per loop, and a loop is named by
# the hole it encircles. This is the outer lap.
# Rows of cones are welded into continuous wall before extraction
# (connect_cone_rows): as separate blobs a cone row is mostly free space between
# the cones, so filling those holes -- which the skeleton needs -- turned a
# BOUNDARY into driveable track. 2263 px of formerly free space are wall here.
# The extracted line clears the nearest weld by 0.70 m against a 0.12 m car
# half-width, and no point of it lies inside one.
# lap 69.2 m, 800 points, closure 0.07 m, 100% of the centreline inside the corridor.
-5.334569,9.427135,0.657647,0.657647
-5.335271,9.340826,0.657647,0.657647
-5.338778,9.254692,0.651920,0.651920
-5.348758,9.169488,0.657647,0.657647
-5.364344,9.085158,0.680074,0.680074
-5.384719,9.001762,0.667083,0.667083
-5.410186,8.919450,0.694622,0.694622
-5.439874,8.838262,0.710634,0.710634
-5.470922,8.757614,0.750000,0.750000
-5.504066,8.677851,0.777817,0.777817
-5.539925,8.599304,0.820061,0.820061
-5.579195,8.522535,0.850000,0.850000
-5.623331,8.448802,0.900000,0.900000
-5.671918,8.377932,0.939415,0.939415
-5.724227,8.309575,0.970824,0.970824
-5.779586,8.243371,1.011187,1.011187
-5.836958,8.178679,1.068878,1.068878
-5.894671,8.114297,1.110180,1.110180
-5.953038,8.050525,1.200000,1.200000
-6.012385,7.987697,1.250000,1.250000
-6.073496,7.926685,1.300000,1.300000
-6.135773,7.866936,1.350000,1.350000
-6.187404,7.802940,1.431782,1.431782
-6.226311,7.733990,1.422146,1.422146
-6.252179,7.659759,1.457738,1.457738
-6.264082,7.579405,1.453444,1.453444
-6.261530,7.493475,1.450000,1.450000
-6.256339,7.407202,1.443087,1.443087
-6.252290,7.320938,1.431782,1.431782
-6.249810,7.234697,1.414214,1.414214
-6.247519,7.148452,1.403567,1.403567
-6.246043,7.062141,1.400893,1.400893
-6.244646,6.975834,1.382932,1.382932
-6.240673,6.889628,1.364734,1.364734
-6.234680,6.803433,1.350000,1.350000
-6.230232,6.717248,1.350000,1.350000
-6.227704,6.631065,1.346291,1.346291
-6.226778,6.544835,1.323820,1.323820
-6.226227,6.458564,1.308625,1.308625
-6.225364,6.372303,1.303840,1.303840
-6.222718,6.286035,1.300000,1.300000
-6.218865,6.199742,1.300000,1.300000
-6.215954,6.113484,1.300000,1.300000
-6.214506,6.027156,1.300000,1.300000
-6.214072,5.940778,1.285496,1.285496
-6.213628,5.854404,1.265899,1.265899
-6.211390,5.768145,1.258968,1.258968
-6.206490,5.681900,1.250000,1.250000
-6.200849,5.595672,1.225765,1.225765
-6.195221,5.509444,1.209339,1.209339
-6.190405,5.423191,1.204159,1.204159
-6.187611,5.336820,1.200000,1.200000
-6.186340,5.250380,1.188486,1.188486
-6.186004,5.163913,1.176860,1.176860
-6.186000,5.077443,1.159741,1.159741
-6.186000,4.990972,1.151086,1.151086
-6.185926,4.904505,1.150000,1.150000
-6.183899,4.818149,1.150000,1.150000
-6.181905,4.731814,1.150000,1.150000
-6.180678,4.645496,1.150000,1.150000
-6.180220,4.559194,1.128051,1.128051
-6.180261,4.472895,1.118034,1.118034
-6.180855,4.386559,1.104536,1.104536
-6.179557,4.300305,1.100000,1.100000
-6.176314,4.214075,1.100000,1.100000
-6.172301,4.127850,1.100000,1.100000
-6.169751,4.041727,1.100000,1.100000
-6.170156,3.955601,1.092016,1.092016
-6.173248,3.869395,1.079352,1.079352
-6.177717,3.783149,1.060660,1.060660
-6.182311,3.696885,1.051190,1.051190
-6.184809,3.610546,1.050000,1.050000
-6.184462,3.524184,1.050000,1.050000
-6.181993,3.437849,1.030776,1.030776
-6.178045,3.351560,1.011187,1.011187
-6.173106,3.265290,1.004988,1.004988
-6.168190,3.178989,1.000000,1.000000
-6.164565,3.092639,1.000000,1.000000
-6.162234,3.006241,1.000000,1.000000
-6.161183,2.919795,1.000000,1.000000
-6.161000,2.833327,1.000000,1.000000
-6.160307,2.746885,1.000000,1.000000
-6.157436,2.660582,1.000000,1.000000
-6.153084,2.574344,0.996243,0.996243
-6.147406,2.488157,0.970824,0.970824
-6.140233,2.402035,0.955249,0.955249
-6.131257,2.316073,0.955249,0.955249
-6.119878,2.230601,0.970824,0.970824
-6.105256,2.145722,0.996243,0.996243
-6.087151,2.061474,0.982344,0.982344
-6.065732,1.977843,0.982344,0.982344
-6.042093,1.894680,0.970824,0.970824
-6.017218,1.812015,0.984886,0.984886
-5.987339,1.731714,1.001249,1.001249
-5.952243,1.653938,1.025914,1.025914
-5.912355,1.578390,1.006231,1.006231
-5.867588,1.505091,0.992472,0.992472
-5.818631,1.433860,0.986154,0.986154
-5.769058,1.363052,0.970824,0.970824
-5.720008,1.291888,0.992472,0.992472
-5.670297,1.221191,0.986154,0.986154
-5.619131,1.151604,1.000000,1.000000
-5.566572,1.083126,0.992472,0.992472
-5.512827,1.015627,0.989949,0.989949
-5.455706,0.951030,0.989949,0.989949
-5.395969,0.888807,0.986154,0.986154
-5.334406,0.828317,0.955249,0.955249
-5.271366,0.769273,0.955249,0.955249
-5.205764,0.713214,0.960469,0.960469
-5.137128,0.661990,0.970824,0.970824
-5.065538,0.615348,0.961769,0.961769
-4.991807,0.571698,0.984886,0.984886
-4.916170,0.530622,0.984886,0.984886
-4.839099,0.491817,0.961769,0.961769
-4.762381,0.452171,0.965660,0.965660
-4.685498,0.412951,0.939415,0.939415
-4.607847,0.375259,0.965660,0.965660
-4.529139,0.339615,0.982344,0.982344
-4.449705,0.305700,0.961769,0.961769
-4.369255,0.274404,0.961769,0.961769
-4.288224,0.244713,0.961769,0.961769
-4.206232,0.217759,0.948683,0.948683
-4.122936,0.195806,0.965660,0.965660
-4.038606,0.179185,0.961769,0.961769
-3.953604,0.166271,0.951315,0.951315
-3.867998,0.156333,0.955249,0.955249
-3.781921,0.149320,0.970824,0.970824
-3.695694,0.144226,0.982344,0.982344
-3.609457,0.139685,1.000000,1.000000
-3.523176,0.136339,1.000000,1.000000
-3.436789,0.134495,1.000000,1.000000
-3.350364,0.132868,1.000000,1.000000
-3.264036,0.129563,1.000000,1.000000
-3.177822,0.124615,1.001249,1.001249
-3.091696,0.121277,1.004988,1.004988
-3.005664,0.120232,1.000000,1.000000
-2.919632,0.121460,1.000000,1.000000
-2.833509,0.124766,1.000000,1.000000
-2.747272,0.129713,1.000000,1.000000
-2.660947,0.133079,1.000000,1.000000
-2.574521,0.134602,1.000000,1.000000
-2.488056,0.135000,1.000000,1.000000
-2.401585,0.135000,1.000000,1.000000
-2.315115,0.135000,1.000000,1.000000
-2.228644,0.135000,1.000000,1.000000
-2.142173,0.135000,1.000000,1.000000
-2.055703,0.135000,1.000000,1.000000
-1.969232,0.135000,1.000000,1.000000
-1.882761,0.135000,1.000000,1.000000
-1.796290,0.135000,1.000000,1.000000
-1.709820,0.135000,1.000000,1.000000
-1.623349,0.135000,1.000000,1.000000
-1.536878,0.135000,1.000000,1.000000
-1.450413,0.134624,1.000000,1.000000
-1.363985,0.133152,1.000000,1.000000
-1.277654,0.129866,1.000000,1.000000
-1.191406,0.125363,1.000000,1.000000
-1.105288,0.122860,1.000000,1.000000
-1.019236,0.122283,1.000000,1.000000
-0.933168,0.123630,1.000000,1.000000
-0.847003,0.126916,1.000000,1.000000
-0.760755,0.131418,1.000000,1.000000
-0.674380,0.133849,1.000000,1.000000
-0.588029,0.133135,1.000000,1.000000
-0.501757,0.129746,1.000000,1.000000
-0.415522,0.125122,0.982344,0.982344
-0.329293,0.120122,0.961769,0.961769
-0.243062,0.115196,0.955249,0.955249
-0.156736,0.111863,0.950000,0.950000
-0.070309,0.110376,0.950000,0.950000
0.016156,0.110000,0.950000,0.950000
0.102627,0.110000,0.950000,0.950000
0.189093,0.110305,0.950000,0.950000
0.275528,0.111628,0.950000,0.950000
0.361869,0.114726,0.951315,0.951315
0.447948,0.120820,0.961769,0.961769
0.533885,0.129059,0.982344,0.982344
0.619777,0.138260,0.982344,0.982344
0.705695,0.146909,0.970824,0.970824
0.791705,0.153811,0.955249,0.955249
0.877978,0.157717,0.950000,0.950000
0.964393,0.159478,0.950000,0.950000
1.050855,0.159972,0.950000,0.950000
1.137326,0.160000,0.950000,0.950000
1.223797,0.160000,0.950000,0.950000
1.310267,0.160000,0.950000,0.950000
1.396738,0.160000,0.950000,0.950000
1.483209,0.160000,0.950000,0.950000
1.569679,0.160000,0.950000,0.950000
1.656150,0.160000,0.950000,0.950000
1.742621,0.160000,0.950000,0.950000
1.829091,0.160000,0.950000,0.950000
1.915562,0.160000,0.950000,0.950000
2.002032,0.159908,0.950000,0.950000
2.088486,0.159108,0.950000,0.950000
2.174876,0.156859,0.951315,0.951315
2.261124,0.152405,0.955249,0.955249
2.347353,0.147405,0.970824,0.970824
2.433583,0.142497,0.996243,0.996243
2.519829,0.138297,1.000000,1.000000
2.606139,0.135546,1.000000,1.000000
2.692591,0.135000,1.000000,1.000000
