# x_m, y_m, w_tr_right_m, w_tr_left_m
# ICRA 2026 Track 1, outer loop. Centreline extracted from the ROS occupancy
# grid beside this file by tools/centerline_from_map.py (centerline_around,
# hole_rank=0). The corridor BRANCHES -- an outer ring plus an inner section --
# so it has no unique centreline; it has one per loop, and a loop is named by
# the hole it encircles. This is the outer lap.
# Rows of cones are welded into continuous wall before extraction
# (connect_cone_rows): as separate blobs a cone row is mostly free space between
# the cones, so filling those holes -- which the skeleton needs -- turned a
# BOUNDARY into driveable track. 2263 px of formerly free space are wall here.
# The extracted line clears the nearest weld by 0.70 m against a 0.12 m car
# half-width, and no point of it lies inside one.
# lap 69.2 m, 800 points, closure 0.07 m, 100% of the centreline inside the corridor.
1.970940,6.898884,1.732772,1.732772
2.019800,6.827818,1.732772,1.732772
2.075226,6.765389,1.732772,1.732772
2.137714,6.712696,1.732772,1.732772
2.207289,6.669770,1.735655,1.735655
2.284193,6.636661,1.710263,1.710263
2.366610,6.611131,1.650757,1.650757
2.449276,6.585888,1.650757,1.650757
2.531719,6.559917,1.600000,1.600000
2.613652,6.532399,1.600000,1.600000
2.695237,6.503800,1.550000,1.550000
2.776922,6.475491,1.523975,1.523975
2.858772,6.447708,1.500000,1.500000
2.940891,6.420825,1.470544,1.470544
3.023682,6.396117,1.450000,1.450000
3.107139,6.373780,1.432655,1.432655
3.191214,6.353909,1.400000,1.400000
3.275808,6.336341,1.392839,1.392839
3.360748,6.320354,1.375682,1.375682
3.445998,6.306026,1.350000,1.350000
3.531505,6.293361,1.350000,1.350000
3.617221,6.282383,1.334166,1.334166
3.703020,6.272010,1.323820,1.323820
3.789006,6.263543,1.308625,1.308625
3.875140,6.258102,1.300000,1.300000
3.961363,6.254962,1.298075,1.298075
4.047582,6.251817,1.274755,1.274755
4.133868,6.249360,1.258968,1.258968
4.220184,6.246917,1.251000,1.251000
4.306509,6.243439,1.250000,1.250000
4.392842,6.239455,1.250000,1.250000
4.479227,6.236754,1.250000,1.250000
4.565664,6.235397,1.250000,1.250000
4.652130,6.235020,1.250000,1.250000
4.738600,6.235000,1.250000,1.250000
4.825070,6.235154,1.250000,1.250000
4.911524,6.236008,1.250000,1.250000
4.997927,6.238178,1.250000,1.250000
5.084226,6.242236,1.250000,1.250000
5.170354,6.248705,1.250000,1.250000
5.256387,6.256847,1.250000,1.250000
5.342287,6.266530,1.264911,1.264911
5.428110,6.276992,1.285496,1.285496
5.513921,6.287562,1.298075,1.298075
5.599611,6.298776,1.300000,1.300000
5.684234,6.314291,1.298075,1.298075
5.767741,6.334056,1.328533,1.328533
5.850094,6.358261,1.320038,1.320038
5.931281,6.387007,1.320038,1.320038
6.011331,6.419564,1.300000,1.300000
6.090844,6.453470,1.312440,1.312440
6.169777,6.488652,1.328533,1.328533
6.247158,6.526745,1.331353,1.331353
6.322385,6.568647,1.346291,1.346291
6.395778,6.613784,1.331353,1.331353
6.465500,6.663952,1.346291,1.346291
6.531275,6.719267,1.331353,1.331353
6.592815,6.779054,1.320038,1.320038
6.649895,6.843013,1.312440,1.312440
6.702843,6.911048,1.272792,1.272792
6.754189,6.980450,1.272792,1.272792
6.803500,7.051396,1.272792,1.272792
6.851151,7.123442,1.237942,1.237942
6.897760,7.196111,1.237942,1.237942
6.941760,7.270250,1.202082,1.202082
6.981728,7.346624,1.188486,1.188486
7.018522,7.424650,1.151086,1.151086
7.053417,7.503608,1.140175,1.140175
7.086479,7.583425,1.118034,1.118034
7.117060,7.664206,1.092016,1.092016
7.146558,7.745368,1.081665,1.081665
7.174462,7.827063,1.050000,1.050000
7.199705,7.909630,1.040433,1.040433
7.222438,7.993018,1.000000,1.000000
7.244348,8.076623,0.984886,0.984886
7.264981,8.160579,0.950000,0.950000
7.284897,8.244722,0.950000,0.950000
7.304819,8.328865,0.917878,0.917878
7.324709,8.413014,0.900000,0.900000
7.344554,8.497174,0.894427,0.894427
7.364352,8.581343,0.850000,0.850000
7.383316,8.665686,0.850000,0.850000
7.400460,8.750361,0.827647,0.827647
7.413315,8.835461,0.790569,0.790569
7.420133,8.920884,0.800000,0.800000
7.419497,9.006373,0.790569,0.790569
7.404498,9.084384,0.750000,0.750000
7.370336,9.148572,0.750000,0.750000
7.319594,9.199227,0.700000,0.700000
7.254070,9.236491,0.600000,0.600000
7.175298,9.260865,0.538516,0.538516
7.090960,9.279882,0.447214,0.447214
7.006828,9.299807,0.350000,0.350000
6.922784,9.320107,0.291548,0.291548
6.838784,9.340501,0.206155,0.206155
6.754360,9.357689,0.111803,0.111803
6.669427,9.370708,0.100000,0.100000
6.583962,9.379492,0.100000,0.100000
6.498004,9.384178,0.100000,0.100000
6.411586,9.385000,0.100000,0.100000
6.325115,9.385000,0.111803,0.111803
6.238645,9.385000,0.180278,0.180278
6.152174,9.385000,0.269258,0.269258
6.066186,9.387950,0.316228,0.316228
5.980580,9.394409,0.412311,0.412311
5.895482,9.405033,0.500000,0.500000
5.810840,9.419589,0.602080,0.602080
5.738658,9.418243,0.651920,0.651920
5.678141,9.397441,0.670820,0.670820
5.628461,9.356942,0.694622,0.694622
5.588589,9.296457,0.715891,0.715891
5.557492,9.216741,0.680074,0.680074
5.522279,9.138134,0.694622,0.694622
5.482116,9.062020,0.694622,0.694622
5.435766,8.989905,0.710634,0.710634
5.383863,8.921694,0.707107,0.707107
5.326504,8.858105,0.710634,0.710634
5.262868,8.801136,0.738241,0.738241
5.193482,8.751338,0.761577,0.761577
5.119346,8.710741,0.743303,0.743303
5.040641,8.679496,0.764853,0.764853
4.958195,8.658244,0.776209,0.776209
4.873681,8.645167,0.790569,0.790569
4.787721,8.638932,0.800000,0.800000
4.701552,8.636379,0.800000,0.800000
4.616201,8.642097,0.800000,0.800000
4.532233,8.655351,0.800000,0.800000
4.450164,8.676446,0.764853,0.764853
4.370409,8.706184,0.763217,0.763217
4.293461,8.744754,0.750000,0.750000
4.221011,8.790226,0.738241,0.738241
4.154495,8.842991,0.750000,0.750000
4.093787,8.902308,0.738241,0.738241
4.038686,8.967510,0.710634,0.710634
3.990007,9.038514,0.721110,0.721110
3.947540,9.113100,0.715891,0.715891
3.911154,9.190384,0.721110,0.721110
3.880158,9.270052,0.715891,0.715891
3.855297,9.352138,0.707107,0.707107
3.837938,9.436170,0.715891,0.715891
3.826149,9.521308,0.701783,0.701783
3.818221,9.606896,0.700000,0.700000
3.814385,9.693001,0.700000,0.700000
3.812905,9.779426,0.700000,0.700000
3.810045,9.865764,0.701783,0.701783
3.804277,9.951854,0.707107,0.707107
3.795105,10.037597,0.728011,0.728011
3.785212,10.123278,0.750000,0.750000
3.776200,10.208986,0.750000,0.750000
3.769060,10.294799,0.750000,0.750000
3.764171,10.380826,0.750000,0.750000
3.759355,10.466856,0.750000,0.750000
3.751434,10.552496,0.751665,0.751665
3.741521,10.637980,0.764853,0.764853
3.731521,10.723463,0.756637,0.756637
3.722178,10.808981,0.751665,0.751665
3.716166,10.894841,0.750000,0.750000
3.714086,10.981155,0.750000,0.750000
3.714000,11.067625,0.750000,0.750000
3.714000,11.154096,0.750000,0.750000
3.714000,11.240566,0.750000,0.750000
3.714000,11.327037,0.750000,0.750000
3.714000,11.413508,0.750000,0.750000
3.714000,11.499978,0.750000,0.750000
3.713921,11.586448,0.750000,0.750000
3.713102,11.672899,0.750000,0.750000
3.710591,11.759265,0.750000,0.750000
3.705928,11.845491,0.756637,0.756637
3.700594,11.931696,0.776209,0.776209
3.694152,12.017858,0.800000,0.800000
3.686315,12.103905,0.800000,0.800000
3.677254,12.189788,0.800000,0.800000
3.667740,12.275610,0.800000,0.800000
3.655841,12.361181,0.824621,0.824621
3.642635,12.446612,0.838153,0.838153
3.627863,12.531734,0.850000,0.850000
3.609853,12.615972,0.854400,0.854400
3.589038,12.699542,0.873212,0.873212
3.565939,12.782540,0.873212,0.873212
3.539904,12.864845,0.905539,0.905539
3.511495,12.946491,0.901388,0.901388
3.482873,13.028050,0.950000,0.950000
3.454642,13.109733,0.955249,0.955249
3.426304,13.191379,1.000000,1.000000
3.397373,13.272816,1.040433,1.040433
3.367836,13.354014,1.050000,1.050000
3.337473,13.434862,1.096586,1.096586
3.304418,13.514639,1.133578,1.133578
3.268607,13.593229,1.150000,1.150000
3.230137,13.670564,1.200000,1.200000
3.186511,13.744400,1.234909,1.234909
3.133661,13.797072,1.252996,1.252996
