# x_m, y_m, w_tr_right_m, w_tr_left_m
# ICRA 2025 competition track, car10 map. Centreline extracted from the ROS
# occupancy grid beside this file by tools/centerline_from_map.py.
# lap 106.9 m, 800 points, closure gap 0.15 m, 100% of the centreline inside the corridor.
7.17050, -2.67279, 0.79057, 0.79057
7.28127, -2.61753, 0.78262, 0.78262
7.38590, -2.54744, 0.73824, 0.73824
7.47351, -2.45983, 0.68007, 0.68007
7.54445, -2.35555, 0.65000, 0.65000
7.60361, -2.24639, 0.57009, 0.57009
7.65098, -2.13235, 0.55000, 0.55000
7.70811, -2.02235, 0.50249, 0.50249
7.74552, -1.90419, 0.52202, 0.52202
7.79167, -1.78964, 0.51478, 0.51478
7.82928, -1.67156, 0.51478, 0.51478
7.88662, -1.56164, 0.51478, 0.51478
7.96367, -1.46966, 0.55902, 0.55902
8.06105, -1.40562, 0.55902, 0.55902
8.17704, -1.36296, 0.57009, 0.57009
8.29429, -1.32334, 0.60208, 0.60208
8.41483, -1.29167, 0.65000, 0.65000
8.54159, -1.27500, 0.65000, 0.65000
8.66835, -1.29167, 0.66708, 0.66708
8.79053, -1.31938, 0.65000, 0.65000
8.89967, -1.37860, 0.65192, 0.65192
8.99526, -1.45571, 0.60000, 0.60000
9.05088, -1.56634, 0.50000, 0.50000
9.07500, -1.69001, 0.50000, 0.50000
9.07500, -1.82367, 0.50000, 0.50000
9.07500, -1.95734, 0.50000, 0.50000
9.07500, -2.09100, 0.50000, 0.50000
9.07500, -2.22466, 0.50000, 0.50000
9.07500, -2.35832, 0.50000, 0.50000
9.07500, -2.49198, 0.50249, 0.50249
9.07500, -2.62565, 0.53852, 0.53852
9.07076, -2.75755, 0.55000, 0.55000
9.05410, -2.88431, 0.55000, 0.55000
9.02221, -3.00477, 0.55902, 0.55902
8.99311, -3.12638, 0.53852, 0.53852
8.97380, -3.25204, 0.57009, 0.57009
8.95569, -3.37820, 0.55227, 0.55227
8.93903, -3.50496, 0.60000, 0.60000
8.91522, -3.62876, 0.57009, 0.57009
8.89856, -3.75552, 0.60000, 0.60000
8.86522, -3.87538, 0.60000, 0.60000
8.84142, -3.99918, 0.65000, 0.65000
8.80479, -4.11767, 0.65000, 0.65000
8.77146, -4.23753, 0.69642, 0.69642
8.72170, -4.35058, 0.70711, 0.70711
8.67433, -4.46462, 0.74330, 0.74330
8.60882, -4.57115, 0.76485, 0.76485
8.52847, -4.67153, 0.85147, 0.85147
8.42908, -4.75426, 0.92195, 0.92195
8.32968, -4.83698, 0.93941, 0.93941
8.22541, -4.90793, 0.98489, 0.98489
8.12113, -4.97887, 0.98489, 0.98489
8.01197, -5.03803, 0.99624, 0.99624
7.89848, -5.08674, 1.01119, 1.01119
7.78373, -5.09906, 0.98234, 0.98234
7.66082, -5.09167, 0.96177, 0.96177
7.53406, -5.07500, 0.91924, 0.91924
7.40730, -5.05833, 0.88600, 0.88600
7.28054, -5.04167, 0.80623, 0.80623
7.15914, -5.01206, 0.80000, 0.80000
7.03238, -4.99540, 0.75000, 0.75000
6.90577, -4.97838, 0.75000, 0.75000
6.78055, -4.95798, 0.75000, 0.75000
6.65380, -4.94131, 0.70000, 0.70000
6.52999, -4.91751, 0.70000, 0.70000
6.40323, -4.90084, 0.70711, 0.70711
6.27647, -4.88418, 0.69642, 0.69642
6.15352, -4.85833, 0.70178, 0.70178
6.02920, -4.83577, 0.68007, 0.68007
