# x_m, y_m, w_tr_right_m, w_tr_left_m
# ICRA 2025 competition track, car10 map. Centreline extracted from the ROS
# occupancy grid beside this file by tools/centerline_from_map.py.
# lap 106.9 m, 800 points, closure gap 0.15 m, 100% of the centreline inside the corridor.
1.27785, -9.07500, 0.60000, 0.60000
1.15048, -9.05980, 0.60000, 0.60000
1.02372, -9.04314, 0.55000, 0.55000
0.89696, -9.02647, 0.57009, 0.57009
0.76391, -9.02500, 0.60000, 0.60000
0.63715, -9.00833, 0.60000, 0.60000
0.51039, -8.99167, 0.55902, 0.55902
0.38363, -8.97500, 0.60000, 0.60000
0.25570, -8.96117, 0.57009, 0.57009
0.12894, -8.94450, 0.55227, 0.55227
0.00218, -8.92783, 0.57009, 0.57009
-0.13031, -8.92500, 0.60000, 0.60000
-0.25707, -8.90833, 0.55902, 0.55902
-0.38035, -8.88328, 0.60000, 0.60000
-0.50021, -8.84995, 0.55902, 0.55902
-0.62696, -8.83328, 0.58523, 0.58523
-0.75720, -8.82500, 0.60000, 0.60000
-0.88396, -8.80833, 0.60000, 0.60000
-1.01071, -8.79167, 0.60208, 0.60208
-1.13297, -8.76413, 0.61847, 0.61847
-1.25973, -8.74746, 0.60000, 0.60000
-1.38649, -8.73079, 0.60000, 0.60000
-1.51517, -8.71877, 0.61847, 0.61847
-1.64193, -8.70211, 0.61847, 0.61847
-1.76869, -8.68544, 0.65000, 0.65000
-1.89112, -8.65833, 0.65000, 0.65000
-2.01788, -8.64167, 0.65192, 0.65192
-2.13944, -8.61244, 0.65192, 0.65192
-2.26619, -8.59577, 0.65192, 0.65192
-2.39295, -8.57910, 0.65765, 0.65765
-2.51801, -8.55833, 0.65000, 0.65000
-2.64477, -8.54167, 0.65192, 0.65192
-2.76463, -8.50833, 0.65765, 0.65765
-2.89139, -8.49167, 0.65000, 0.65000
-3.01553, -8.46868, 0.65765, 0.65765
-3.14229, -8.45201, 0.68007, 0.68007
-3.26904, -8.43535, 0.65192, 0.65192
-3.39152, -8.40833, 0.66708, 0.66708
-3.51828, -8.39167, 0.65765, 0.65765
-3.63979, -8.36234, 0.68007, 0.68007
-3.76655, -8.34568, 0.68007, 0.68007
-3.88641, -8.31234, 0.65765, 0.65765
-4.01021, -8.28854, 0.66708, 0.66708
-4.13006, -8.25521, 0.66708, 0.66708
-4.25682, -8.23854, 0.69642, 0.69642
-4.37797, -8.20833, 0.66708, 0.66708
-4.49922, -8.17835, 0.70178, 0.70178
-4.61907, -8.14502, 0.73824, 0.73824
-4.74553, -8.12762, 0.71589, 0.71589
-4.86933, -8.10382, 0.70000, 0.70000
-4.98919, -8.07048, 0.72801, 0.72801
-5.10934, -8.03788, 0.75166, 0.75166
-5.23315, -8.01408, 0.75000, 0.75000
-5.35900, -7.99522, 0.76485, 0.76485
-5.47668, -7.95665, 0.75166, 0.75166
-5.59416, -7.91757, 0.80000, 0.80000
-5.70820, -7.87020, 0.85000, 0.85000
-5.83022, -7.84211, 0.90000, 0.90000
-5.95008, -7.80877, 0.85440, 0.85440
-6.06975, -7.77500, 0.87321, 0.87321
-6.18069, -7.72013, 0.90554, 0.90554
-6.29364, -7.67013, 0.95000, 0.95000
-6.40205, -7.60916, 1.00000, 1.00000
-6.51609, -7.56178, 1.03078, 1.03078
-6.62904, -7.51178, 1.06066, 1.06066
-6.74653, -7.47276, 1.07703, 1.07703
-6.86732, -7.44167, 1.09772, 1.09772
-6.99408, -7.42500, 1.10000, 1.10000
-7.12418, -7.41642, 1.07935, 1.07935
-7.22946, -7.39472, 1.05000, 1.05000
-7.32656, -7.36337, 1.05000, 1.05000
-7.42640, -7.33861, 1.00000, 1.00000
-7.55108, -7.32698, 1.00000, 1.00000
-7.68392, -7.32500, 0.99624, 0.99624
-7.81758, -7.32500, 0.96177, 0.96177
-7.94539, -7.31088, 0.95131, 0.95131
-8.07215, -7.29421, 0.90000, 0.90000
-8.19891, -7.27755, 0.90000, 0.90000
-8.33152, -7.27500, 0.90000, 0.90000
-8.46285, -7.26938, 0.90000, 0.90000
-8.58961, -7.25271, 0.90000, 0.90000
-8.71637, -7.23605, 0.85000, 0.85000
-8.84546, -7.22500, 0.85000, 0.85000
-8.97543, -7.21609, 0.85000, 0.85000
-9.10219, -7.19943, 0.80000, 0.80000
-9.22895, -7.18276, 0.80000, 0.80000
-9.35940, -7.17500, 0.80623, 0.80623
-9.49306, -7.17500, 0.82462, 0.82462
-9.61982, -7.15833, 0.80156, 0.80156
-9.74658, -7.14167, 0.75000, 0.75000
-9.87334, -7.12500, 0.75000, 0.75000
-10.00700, -7.12500, 0.75000, 0.75000
-10.13584, -7.11337, 0.75000, 0.75000
-10.26260, -7.09671, 0.70000, 0.70000
-10.38936, -7.08004, 0.70000, 0.70000
-10.52094, -7.07500, 0.71589, 0.71589
-10.65460, -7.07500, 0.75000, 0.75000
-10.78826, -7.07500, 0.75000, 0.75000
-10.91502, -7.05833, 0.75000, 0.75000
-11.04178, -7.04167, 0.70000, 0.70000
-11.16163, -7.00833, 0.70178, 0.70178
-11.28839, -6.99167, 0.66708, 0.66708
-11.41515, -6.97500, 0.70000, 0.70000
-11.54881, -6.97500, 0.70178, 0.70178
-11.67557, -6.95833, 0.72801, 0.72801
-11.80233, -6.94167, 0.70000, 0.70000
-11.92909, -6.92500, 0.70000, 0.70000
-12.05585, -6.90833, 0.70000, 0.70000
-12.18261, -6.89167, 0.65000, 0.65000
-12.30937, -6.87500, 0.65000, 0.65000
-12.44286, -6.87460, 0.65000, 0.65000
-12.56962, -6.85793, 0.66708, 0.66708
-12.69638, -6.84127, 0.65000, 0.65000
-12.82330, -6.82500, 0.70000, 0.70000
-12.95544, -6.82132, 0.68007, 0.68007
-13.08220, -6.80465, 0.65765, 0.65765
-13.20288, -6.77331, 0.70000, 0.70000
-13.32180, -6.73772, 0.75000, 0.75000
-13.43793, -6.69540, 0.80000, 0.80000
-13.55197, -6.64803, 0.81394, 0.81394
-13.66113, -6.58887, 0.83815, 0.83815
-13.77029, -6.52971, 0.86313, 0.86313
-13.87945, -6.47055, 0.89443, 0.89443
-13.98372, -6.39961, 0.93941, 0.93941
-14.08348, -6.31776, 0.94868, 0.94868
-14.18288, -6.23503, 1.00623, 1.00623
-14.28227, -6.15230, 1.01242, 1.01242
-14.38131, -6.06869, 1.07355, 1.07355
-14.47582, -5.97418, 1.11803, 1.11803
-14.55855, -5.87479, 1.15109, 1.15109
-14.64128, -5.77539, 1.14127, 1.14127
-14.70950, -5.66999, 1.18849, 1.18849
-14.76866, -5.56083, 1.20208, 1.20208
-14.80424, -5.44191, 1.18533, 1.18533
-14.83758, -5.32205, 1.14237, 1.14237
-14.87692, -5.20469, 1.15434, 1.15434
-14.90833, -5.08404, 1.15434, 1.15434
-14.94167, -4.96418, 1.12805, 1.12805
-14.95833, -4.83742, 1.15434, 1.15434
-14.98631, -4.71535, 1.15000, 1.15000
-15.00556, -4.58966, 1.16726, 1.16726
-15.03889, -4.46980, 1.15434, 1.15434
-15.06091, -4.34526, 1.20000, 1.20000
-15.07500, -4.21744, 1.20000, 1.20000
-15.07500, -4.08377, 1.18849, 1.18849
-15.06120, -3.95583, 1.16726, 1.16726
-15.04453, -3.82907, 1.15000, 1.15000
-15.02787, -3.70231, 1.12805, 1.12805
-15.02500, -3.56983, 1.10454, 1.10454
-15.02500, -3.43617, 1.10000, 1.10000
-15.02355, -3.30311, 1.10000, 1.10000
-15.00688, -3.17635, 1.10000, 1.10000
-14.99022, -3.04959, 1.05000, 1.05000
-14.97500, -2.92223, 1.05119, 1.05119
-14.97500, -2.78857, 1.06888, 1.06888
-14.96233, -2.66016, 1.09202, 1.09202
-14.94566, -2.53340, 1.06066, 1.06066
-14.92900, -2.40664, 1.07935, 1.07935
-14.92500, -2.27463, 1.11018, 1.11018
-14.90833, -2.14787, 1.07935, 1.07935
-14.87500, -2.02802, 1.11018, 1.11018
-14.83139, -1.91242, 1.14018, 1.14018
-14.79651, -1.79320, 1.14237, 1.14237
-14.75859, -1.67525, 1.12805, 1.12805
-14.71121, -1.56121, 1.15974, 1.15974
-14.65205, -1.45205, 1.16619, 1.16619
-14.58111, -1.34778, 1.18533, 1.18533
-14.50543, -1.24547, 1.16726, 1.16726
-14.42270, -1.14607, 1.17154, 1.17154
-14.33997, -1.04667, 1.19269, 1.19269
-14.25020, -0.95020, 1.18533, 1.18533
-14.15568, -0.85568, 1.14018, 1.14018
-14.05629, -0.77296, 1.06888, 1.06888
-13.95448, -0.69606, 0.99624, 0.99624
-13.84532, -0.63690, 1.00623, 1.00623
-13.73610, -0.57790, 0.99624, 0.99624
-13.61624, -0.54457, 0.98234, 0.98234
-13.50220, -0.49719, 0.96566, 0.96566
-13.38235, -0.46386, 1.01119, 1.01119
-13.26940, -0.41386, 0.98234, 0.98234
-13.15047, -0.37827, 0.95131, 0.95131
-13.03743, -0.32849, 0.92195, 0.92195
-12.91758, -0.29516, 0.90139, 0.90139
-12.79908, -0.25855, 0.93408, 0.93408
-12.67241, -0.24167, 0.90139, 0.90139
-12.55255, -0.20833, 0.91241, 0.91241
-12.42833, -0.18555, 0.90000, 0.90000
-12.30847, -0.15221, 0.90554, 0.90554
-12.18172, -0.13555, 0.88600, 0.88600
-12.05932, -0.10833, 0.90000, 0.90000
-11.93947, -0.07500, 0.85147, 0.85147
-11.81961, -0.04167, 0.81394, 0.81394
-11.69928, -0.00949, 0.85000, 0.85000
-11.57252, 0.00718, 0.80000, 0.80000
-11.44576, 0.02384, 0.80623, 0.80623
-11.31258, 0.02500, 0.82462, 0.82462
-11.18582, 0.04167, 0.85000, 0.85000
-11.05906, 0.05833, 0.80000, 0.80000
-10.93230, 0.07500, 0.80000, 0.80000
-10.79864, 0.07500, 0.80000, 0.80000
-10.66498, 0.07500, 0.80156, 0.80156
-10.53132, 0.07500, 0.81394, 0.81394
-10.39873, 0.07759, 0.80000, 0.80000
-10.27197, 0.09426, 0.80000, 0.80000
-10.14521, 0.11093, 0.80000, 0.80000
-10.02428, 0.14167, 0.80156, 0.80156
-9.89752, 0.15833, 0.77621, 0.77621
-9.77076, 0.17500, 0.80000, 0.80000
-9.63710, 0.17500, 0.80000, 0.80000
-9.50395, 0.17623, 0.80000, 0.80000
-9.37719, 0.19290, 0.80000, 0.80000
-9.25043, 0.20956, 0.75000, 0.75000
-9.12316, 0.22500, 0.75000, 0.75000
-8.98950, 0.22500, 0.75000, 0.75000
-8.85584, 0.22500, 0.75000, 0.75000
-8.72218, 0.22500, 0.75000, 0.75000
-8.58851, 0.22500, 0.75000, 0.75000
-8.45485, 0.22500, 0.75000, 0.75000
-8.32119, 0.22500, 0.75000, 0.75000
-8.19443, 0.20833, 0.75000, 0.75000
-8.07100, 0.19970, 0.75000, 0.75000
-7.95114, 0.19970, 0.75000, 0.75000
-7.82439, 0.21637, 0.75000, 0.75000
-7.69430, 0.22500, 0.75000, 0.75000
-7.56064, 0.22500, 0.72801, 0.72801
-7.42697, 0.22500, 0.70178, 0.70178
-7.29331, 0.22500, 0.70000, 0.70000
-7.15965, 0.22500, 0.70000, 0.70000
-7.02599, 0.22500, 0.70000, 0.70000
-6.89232, 0.22500, 0.70000, 0.70000
-6.74200, 0.24167, 0.70000, 0.70000
